feature_id,return_period_2,return_period_5,return_period_10,return_period_25,return_period_50,return_period_100
6009374,61.26,91.36,111.28,136.46,155.14,173.68
3624105,50.41,97.53,128.73,168.15,197.39,226.42
3624541,66.8,104.56,129.56,161.15,184.58,207.84
6010272,8088.4,11987.31,14568.72,17830.35,20250.01,22651.8
3624735,16058.03,22928.13,27476.74,33223.92,37487.5,41719.6
3626651,13.34,23.41,30.08,38.5,44.75,50.96
5050395,30.18,50.37,63.74,80.63,93.16,105.6
5050347,36.82,55.1,67.21,82.51,93.86,105.12
3623981,79.45,134.18,170.42,216.21,250.17,283.89
3624401,123.66,207.27,262.62,332.56,384.44,435.94
3624471,152.53,253.33,320.07,404.4,466.96,529.06
3623245,211.58,345.46,434.11,546.12,629.21,711.69
5053369,682.68,1484.69,2015.69,2686.61,3184.34,3678.39
5052681,995.42,2049.87,2748.0,3630.1,4284.49,4934.05
6010012,16.9,31.29,40.82,52.85,61.78,70.65
6009534,20.33,31.86,39.49,49.13,56.28,63.38
3624451,19.66,34.54,44.39,56.84,66.08,75.25
6009092,22.51,34.91,43.12,53.5,61.19,68.83
3624261,22.93,38.74,49.21,62.43,72.25,81.99
3624295,23.56,42.02,54.25,69.7,81.16,92.53
6009568,27.74,47.18,60.05,76.31,88.37,100.34
5050297,47.47,76.0,94.89,118.75,136.46,154.03
3624227,68.51,130.03,170.76,222.22,260.4,298.3
13888668,102.39,157.09,193.31,239.08,273.03,306.73
5050313,105.32,159.75,195.79,241.33,275.11,308.64
4635347,534.4,1037.62,1370.8,1791.76,2104.06,2414.06
5050437,4.95,8.61,11.03,14.1,16.37,18.62
6009232,42.15,70.97,90.05,114.15,132.04,149.79
5050353,49.37,79.77,99.9,125.33,144.2,162.93
6010004,81.07,140.4,179.68,229.32,266.14,302.69
3624355,105.67,174.73,220.46,278.23,321.09,363.63
13891354,199.2,328.02,413.31,521.08,601.03,680.38
5076724,384.09,744.34,982.87,1284.24,1507.82,1729.74
4636879,543.48,1053.01,1390.37,1816.61,2132.83,2446.71
13893022,958.1,1516.96,1886.98,2354.49,2701.33,3045.6
5050679,1357.94,2735.86,3648.16,4800.86,5656.0,6504.82
6013072,8032.12,11923.9,14500.6,17756.26,20171.5,22568.9
3624315,5.66,11.27,14.99,19.68,23.16,26.62
6009712,11.16,20.76,27.12,35.15,41.11,47.03
5050581,30.27,46.34,56.98,70.43,80.4,90.3
3624349,28.49,47.5,60.09,75.99,87.79,99.5
5050481,44.39,67.05,82.06,101.01,115.08,129.04
3624329,67.22,117.32,150.49,192.41,223.5,254.36
13891008,244.48,382.33,473.6,588.92,674.47,759.38
22069422,0.0,2.02,3.36,5.06,6.31,7.56
22070042,5.98,13.06,17.76,23.68,28.08,32.45
22070770,15.99,34.33,46.46,61.8,73.17,84.47
162459659,15.91,34.66,47.07,62.75,74.38,85.93
